MolLogP,MolWt,NumRotatableBonds,AromaticProportion,logS
2.8103,352.77,3,0.25,-3.246
1.4008,124.139,1,0.666666667,-1.96
-0.7716,151.129,0,0.818181818,-3.583
2.5085,197.381,0,0,-1.71
1.3296,300.266,0,0.272727273,-2.7
5.2415,373.321,0,0,-6.317
2.9767,100.205,4,0,-4.53
4.7574,260.762,1,0,-4.92
3.7268,236.74,0,0,-3.67
10.3886,366.718,23,0,-8.334
6.4876,226.448,13,0,-8.4
3.53712,162.276,0,0.5,-5.23
2.5866,86.178,3,0,-3.84
4.7852,270.372,5,0.6,-4.43
3.8094,162.276,5,0.5,-5.21
-1.1742,100.077,0,0,-0.4
3.1256,184.242,3,0.857142857,-2.92
2.4536,214.264,3,0.75,-1.93
-0.3513,297.745,1,0.352941176,-2.63
1.7816,362.466,2,0,-3.09
2.3524,404.503,3,0,-4.88
3.995,354.875,0,0,-5.46
3.8384,330.468,1,0,-3.817
-0.3538,136.114,0,0.9,-2.296
2.1753,118.179,0,0.666666667,-3.04
2.0834,365.842,3,0.5,-3.586
1.5629,118.139,0,1,-2.16
2.1679,117.151,0,1,-1.52
1.6546,119.167,0,0.666666667,-1.04
-1.8566,268.229,2,0.473684211,-1.23
2.2912,204.01,0,0.857142857,-3.01
1.4413,155.966,0,0,-1.6
4.4941,413,4,0.375,-6.62
1.0512,141.939,0,0,-1
2.47308,370.915,0,0.545454545,-3.61
2.1915,243.742,5,0.375,-3.785
3.1887,313.747,7,0.277777778,-3.658
1.2055,116.16,2,0,-1.21
0.8154,102.133,3,0,-1.01
2.8851,134.222,2,0.6,-4.12
0.3772,185.227,2,0,-2.15
1.41762,231.255,4,0.647058824,-2.461
3.8896,345.401,8,0.272727273,-4.194
-0.3593,151.129,0,0.818181818,-3.401
-0.3149,137.142,1,0.6,0.009
1.5956,130.187,3,0,-1.92
1.2055,116.16,4,0,-1.52
2.3218,138.21,0,0,-1.06
2.5282,193.246,2,0.428571429,-2.863
4.2528,309.366,8,0.272727273,-6.49
0.9579,102.133,1,0,-0.55
0.5678,88.106,2,0,-0.63
2.81,120.195,1,0.666666667,-3.27
2.9035,206.289,2,0.4,-3.536
2.2348,129.162,0,1,-1.45
2.667,279.34,2,0.3,-2.93
2.9668,322.364,5,0.5,-3.27
4.6182,490.639,0,0,-5.259
2.86482,260.245,2,0.684210526,-3.021
-5.3972,342.297,4,0,-0.244
-2.5823,150.13,0,0,0.39
1.5305,234.299,1,0.352941176,-4.594
2.6698,154.253,4,0,-1.99
3.6444,290.832,0,0,-4.64
3.0185,249.097,2,0.4,-3.592
3.1013,321.163,1,0.571428571,-3.604
4.1955,404.547,6,0,-6.005
2.1218,330.364,9,0,-3.37
0.5027,160.169,4,0,-0.82
-5.3972,342.297,4,0,0.358
-3.5854,182.172,5,0,0.06
1.9222,127.574,0,0.75,-1.37
3.1025,191.455,0,0.75,-3.21
2.9446,238.455,0,0.75,-3.55
2.2482,157.556,1,0.6,-2.77
2.9722,295.298,3,0.681818182,-3.88
2.632,329.38,8,0,-2.518
0.8498,196.202,2,0,-1.899
5.2797,340.507,1,0,-5.27
3.3381,298.367,4,0.714285714,-4.873
2.52334,310.297,3,0.3,-3.24
4.5753,384.516,2,0,-5.35
2.0119,172.183,0,0.461538462,-3.03
2.4395,156.269,1,0,-2.53
2.6477,154.253,1,0,-2.35
0.9834,218.253,6,0,-1.807
2.585,167.258,0,0.9,-3.18
1.84434,279.336,5,0.3,-1.601
0.6361,16.043,0,0,-0.9
-0.3915,32.042,0,0,1.57
3.00254,250.301,1,0.842105263,-2.925
0.501,198.222,2,0,-2.23
1.436,261.064,1,0.6875,-2.82
0.5302,241.243,6,0.352941176,-0.985
5.062,310.478,10,0,-5.19
1.8622,271.39,8,0.333333333,-2.928
2.5478,216.192,1,0.8125,-3.664
5.2059,345.653,4,0.571428571,-6.89
0.1793,74.079,0,0,0.46
0.3454,86.09,1,0,-0.22
1.4732,136.15,1,0.6,-1.85
1.4329,88.15,3,0,-0.99
1.3496,116.16,3,0,-0.82
3.3001,186.295,8,0,-4.69
-0.2108,60.052,1,0,0.58
0.59,184.147,1,0.461538462,-1.24
1.7397,130.187,4,0,-1.87
-0.9205,46.073,0,0,1.34
4.0803,214.349,10,0,-4.69
0.8682,137.138,1,0.6,-0.46
2.91,172.268,7,0,-3.38
2.5199,158.241,6,0,-3.17
1.3496,116.16,3,0,-1.36
0.5694,88.106,1,0,-0.14
1.0428,74.123,2,0,-0.39
1.4313,88.15,0,0,-0.24
2.5866,98.189,0,0,-3.85
2.1965,84.162,0,0,-3.3
3.7677,268.36,3,0.6,-3.35
1.1788,152.149,1,0.545454545,-1.827
4.8401,344.495,1,0,-5.284
0.74091,142.183,0,0.666666667,-2.436
3.16412,283.799,6,0.315789474,-2.73
2.71412,365.842,2,0.5,-3.78
1.4048,151.165,1,0.545454545,-1.803
2.4421,228.679,2,0.4,-2.564
0.09202,171.156,3,0.416666667,-1.26
0.3715,214.294,1,0.428571429,-2.253
0.09202,171.156,3,0.416666667,-1.22
2.5882,175,0,0.75,-2.67
-0.1303,209.253,1,0.4,-1.989
6.223,545.546,0,0,-6.8
1.57722,107.156,0,0.75,-0.85
1.177,138.126,1,0.6,-2.19
1.3004,139.11,1,0.6,-1.01
1.90322,137.138,1,0.6,-2.44
2.3651,214.652,2,0.428571429,-2.57
-2.8848,446.405,6,0.193548387,-0.742
2.4335,198.653,1,0.461538462,-2.89
1.988,302.238,1,0.727272727,-3.083
2.30344,106.168,0,0.75,-2.82
2.5328,149.237,3,0.545454545,-3.03
0.0945,87.122,0,0,1.11
1.7526,121.183,1,0.666666667,-1.92
3.6512,380.784,5,0,-2.28
3.4755,271.36,5,0.5,-3.57
5.1462,228.294,0,1,-8.6
2.8398,128.174,0,1,-3.6
4.2572,275.179,4,0.352941176,-4.77
2.6714,154.253,4,0,-2.46
2.1184,121.183,2,0.666666667,-1.7
2.65122,266.304,1,0.6,-3.19
3.8595,327.123,3,0.571428571,-4.7
0.1805,122.127,1,0.666666667,0.61
2.1756,346.339,4,0.24,-4.76
0.9959,156.097,2,0.454545455,-2.19
2.4086,295.298,2,0.545454545,-3.796
0.5809,214.206,2,0.357142857,-3.22
2.9502,322.243,5,0.272727273,-3.561
3.5617,230.909,0,0.545454545,-3.76
2.3843,281.271,2,0.571428571,-3.796
1.5948,123.111,1,0.666666667,-1.8
0.283,75.067,1,0,-0.22
4.6939,284.098,3,0.666666667,-5.46
0.0735,238.159,3,0.294117647,-3.38
-1.0201,227.085,8,0,-2.22
-0.1071,61.04,0,0,0.26
1.7283,107.156,1,0.75,-1.28
3.7569,128.259,6,0,-5.88
4.2894,511.581,5,0.615384615,-3.931
2.0823,222.332,1,0,-3.171
4.0633,340.463,1,0,-4.8
2.6074,314.425,0,0,-4.57
2.9464,303.671,2,0.6,-4.046
5.929,320.046,3,0.666666667,-6.51
0.9744,109.128,0,0.75,-0.72
1.9222,127.574,0,0.75,-1.52
3.1025,191.455,0,0.75,-3.19
2.9446,238.455,0,0.75,-3.54
2.2482,157.556,1,0.6,-2.55
3.3668,114.232,5,0,-5.24
0.1016,89.094,1,0,0.85
2.5882,175,0,0.75,-2.7
0.4911,137.138,1,0.6,-1.82
1.4008,124.139,1,0.666666667,-1.96
1.177,138.126,1,0.6,-1.96
1.6034,153.137,2,0.545454545,-1.96
1.3004,139.11,1,0.6,-1.74
1.90322,137.138,1,0.6,-2.33
1.7768,346.365,8,0.260869565,-5.16
3.3103,244.29,3,0.555555556,-4.314
1.57722,107.156,0,0.75,-2.21
4.217,345.226,3,0.5,-5.696
0.1071,219.266,1,0,0.106
2.4479,286.718,1,0.6,-3.952
1.3016,267.306,2,0.333333333,-2.281
2.30344,106.168,0,0.75,-2.8
3.4934,324.38,5,0.5,-3.73
2.518,184.242,1,0.857142857,-2.7
5.929,320.046,3,0.666666667,-7.2
6.1879,318.03,2,0.666666667,-6.9
0.9744,109.128,0,0.75,-0.8
-1.6476,114.06,0,0,-0.4
3.2711,291.265,7,0.333333333,-4.66
2.518,184.242,1,0.857142857,-2.7
2.4075,214.062,1,0.545454545,-3.083
3.0537,282.906,0,0.75,-4.56
2.2984,169.611,1,0.545454545,-2.843
1.9222,127.574,0,0.75,-1.66
3.1025,191.455,0,0.75,-3.63
2.9446,238.455,0,0.75,-4.03
2.2482,157.556,1,0.6,-2.92
1.70062,108.14,0,0.75,-0.73
3.3716,203.351,6,0,-3.53
5.3167,328.843,4,0.52173913,-5.915
4.9536,250.339,0,0.545454545,-5.65
3.1603,202.295,0,0,-2.6
4.6592,266.338,0,0.5,-4.28
3.2287,148.249,0,0.545454545,-4
2.1965,72.151,2,0,-3.18
1.185,226.276,4,0,-2.39
1.7397,130.187,4,0,-1.89
1.7397,130.187,4,0,-2.25
3.4193,148.249,4,0.545454545,-4.64
3.7569,140.27,4,0,-6.08
3.08932,379.381,4,0.5,-3.8
6.1133,391.294,6,0.461538462,-6.291
5.7372,252.316,0,1,-8.804
1.7841,153.156,1,0.545454545,-1.78
2.0437,179.219,3,0.461538462,-2.35
3.993,178.234,0,1,-5.26
3.388,179.222,0,1,-2.78
2.0853,122.167,2,0.666666667,-2.33
3.78422,300.314,3,0.545454545,-4.805
0.7004,232.239,2,0.352941176,-2.322
1.3922,94.113,0,0.857142857,0
3.5601,318.328,2,0.75,-2.9
5.7605,350.458,6,0.461538462,-5.24
3.7878,308.381,5,0.52173913,-3.81
0.9722,108.144,1,0.75,0.07
1.1789,108.14,1,0.75,-0.4
1.3421,152.222,1,0.6,-1.77
1.7696,252.273,2,0.631578947,-4.097
3.7277,260.386,8,0,-4.11
4.2361,367.816,7,0.428571429,-5.233
3.22838,298.304,7,0.315789474,-4.862
0.0012,149.149,0,0,-2.932
0.5702,147.133,0,0.545454545,-2.61
1.42996,128.134,0,0.6,-2.38
1.3506,151.165,1,0.545454545,-1.03
1.2047,122.123,1,0.666666667,-0.96
6.2994,278.354,0,1,-7.87
2.9972,285.343,3,0.285714286,-3.46
1.2278,150.133,1,0.545454545,-1.63
4.1983,353.49,9,0,-4.15
1.21984,238.291,2,0.352941176,-1.95
1.581,331.353,2,0.52173913,-4.16
1.5077,136.15,2,0.6,-1.49
1.57722,107.156,0,0.75,-1.21
1.177,138.126,1,0.6,-2.37
1.6034,153.137,2,0.545454545,-2.41
1.3004,139.11,1,0.6,-0.74
1.90322,137.138,1,0.6,-2.49
3.0592,170.211,1,0.923076923,-3.48
3.8792,288.431,0,0,-4.12
1.5576,360.45,2,0,-3.18
2.1284,402.487,3,0,-4.37
4.5153,316.485,1,0,-4.65
0.5379,218.256,2,0.375,-2.64
0.4048,198.222,2,0,-2.21
3.2829,284.142,1,0.333333333,-4.8
4.7235,314.469,1,0,-4.42
1.5208,225.296,5,0.375,-2.478
2.2341,241.364,5,0.375,-4.1
2.6668,211.692,3,0.428571429,-2.48
1.4163,44.097,0,0,-1.94
3.3419,218.083,2,0.461538462,-3
2.1656,229.715,4,0.4,-4.43
2.3388,281.314,7,0,-3.408
3.6534,342.226,5,0.5,-3.493
0.5953,58.08,1,0,0.58
0.91998,55.08,0,0,0.28
2.192,209.245,3,0.4,-2.05
0.9595,102.133,2,0,-0.72
0.9595,102.133,2,0,-1.92
0.5694,88.106,3,0,-0.49
1.3496,116.16,3,0,-1.34
2.6391,120.195,2,0.666666667,-3.37
2.9767,112.216,2,0,-4.74
1.1923,42.081,0,0,-1.08
1.8214,102.177,3,0,-1.34
0.6395,40.065,0,0,-0.41
2.6897,150.221,0,0.545454545,-2.41
0.4198,132.126,0,1,0.02
5.0206,230.31,2,1,-7.11
0.64242,171.221,1,0.545454545,-1.74
2.30344,106.168,0,0.75,-2.77
2.7095,217.268,2,0.375,-2.56
-0.4245,123.115,1,0.666666667,-0.667
1.4681,221.647,1,0.8,-2.878
4.584,202.256,0,1,-6.176
0.4766,80.09,0,1,1.1
1.0816,79.102,0,1,0.76
0.4766,80.09,0,1,1.1
2.24112,245.282,2,0.611111111,-2.09
0.8788,289.744,2,0.333333333,-3.29
2.2348,129.162,0,1,-1.3
2.826,332.57,3,0.3,-5.03
4.8618,295.336,1,0.428571429,-5.82
-7.5714,504.438,8,0,-0.41
1.4952,262.309,2,0,-2.696
2.2246,254.293,1,0.631578947,-2.62
0.1343,133.197,0,0,-1.77
-1.72356,376.369,5,0.518518519,-3.685
1.8356,179.219,3,0.461538462,-2.452
4.5429,321.549,4,0.375,-5.72
3.7033,394.423,3,0.413793103,-4.42
2.88,330.171,2,0.285714286,-4.376
2.4639,226.235,0,0.705882353,-3.672
2.95952,254.289,0,0.631578947,-3.928
2.878,288.738,1,0.6,-4.114
3.52752,322.29,1,0.52173913,-4.207
2.81714,268.32,1,0.6,-4.554
2.7599,270.361,1,0.631578947,-4.634
3.3649,269.373,1,0.631578947,-4.706
3.4346,252.317,1,0.631578947,-4.749
2.6147,268.32,2,0.6,-2.86
3.2071,255.292,2,0.631578947,-4.799
3.17972,296.374,2,0.545454545,-4.871
3.12232,283.331,2,0.571428571,-5.153
3.4587,273.723,1,0.631578947,-5.36
2.35452,255.277,0,0.631578947,-3.043
2.8296,253.305,1,0.631578947,-3.324
1.6288,313.361,4,0.52173913,-3.36
3.2071,255.292,2,0.631578947,-3.535
3.459,239.274,1,0.666666667,-3.68
-1.6424,286.28,4,0.3,-0.85
0.4911,137.138,1,0.6,-1.836
2.6445,213.236,2,0.75,-3.59
2.4196,246.306,0,0,-3.09
1.3511,238.287,5,0,-2.356
3.3868,232.327,2,0.352941176,-4.11
1.3886,201.661,4,0.461538462,-4.55
0.7255,213.31,3,0.428571429,-2.676
-3.5854,182.172,5,0,1.09
-1.06888,361.445,8,0.260869565,-1.981
4.8523,416.583,1,0,-4.173
3.8884,293.407,9,0.285714286,-3.84
3.9591,290.447,0,0,-4.743
5.6015,365.964,5,0.315789474,-4.522
2.3296,104.152,1,0.75,-2.82
1.7579,120.151,1,0.666666667,-1.6
-0.577,99.089,0,0,0.3
-5.3956,342.297,5,0,0.79
-0.55943,214.25,2,0.428571429,-1.99
3.0988,223.794,4,0,-3.39
-0.0838,172.209,1,0.545454545,-1.34
0.961,224.26,4,0,-2.016
2.9841,134.222,0,0.6,-3.66
0.7614,70.091,1,0,0.32
4.5117,381.112,2,0.5,-7.28
1.25342,216.668,0,0.428571429,-2.484
4.5063,288.44,7,0,-4.755
1.5224,225.296,4,0.375,-3.239
2.2357,241.364,4,0.375,-4
3.8792,288.431,0,0,-4.02
4.45,330.468,1,0,-5.184
4.8401,344.495,2,0,-5.37
3.1773,331.627,0,0,-3.14
3.0682,165.834,0,0,-2.54
4.0144,261.919,1,0.461538462,-4.02
2.5529,153.823,0,0,-2.31
5.7074,198.394,11,0,-7.96
5.55182,418.736,4,0.222222222,-7.321
0.7968,72.107,0,0,0.49
1.1869,86.134,0,0,-0.03
0.2296,116.164,0,0,0.94
0.0878,258.233,1,0.315789474,-2.676
-1.0397,180.167,0,0.692307692,-2.523
-1.0397,180.167,0,0.692307692,-1.39
0.4043,356.227,6,0.285714286,-2.154
1.516,254.355,5,0,-3.46
2.4085,124.208,1,0.75,-2.39
2.1075,218.322,3,0,-1.62
2.99,246.359,7,0,-3.091
1.3499,242.344,4,0,-3.36
1.7481,84.143,0,1,-1.33
1.9753,110.181,0,0.857142857,-2.12
0.0586,128.156,0,0.75,-2.273
-0.8113,76.124,0,0,0.32
2.0608,240.444,0,0,-3.9
-0.62838,126.115,0,0.666666667,-1.506
2.82402,150.221,1,0.545454545,-2.22
1.99502,92.141,0,0.857142857,-2.21
3.2752,148.249,1,0.545454545,-4.15
2.8326,112.216,0,0,-4.47
2.7527,98.189,3,0,-3.82
1.9725,70.135,1,0,-2.54
3.1243,293.754,4,0.55,-3.61
4.8439,304.67,4,0,-4.88
0.6205,394.439,2,0,-3.68
2.4188,434.504,2,0,-4.31
1.7621,478.513,4,0,-4.13
0.8334,253.269,1,0.842105263,-2.404
4.23352,343.217,1,0.739130435,-4.09
2.4547,252.731,0,0,-1.91
0.821,380.662,2,0.3,-2.68
2.1609,257.437,3,0,-0.22
0.821,380.662,2,0.3,-2.68
1.88018,144.388,0,0,-2.168
2.5017,131.389,0,0,-1.96
1.9864,119.378,0,0,-1.17
5.3915,333.604,5,0.352941176,-5.752
5.1447,289.545,2,0.705882353,-4.46
6.25676,368.369,6,0.692307692,-6.01
2.25242,189.243,0,0.923076923,-2.07
1.803,229.715,5,0.4,-4.06
2.204,182.156,6,0,0.43
4.1482,335.282,7,0.260869565,-5.68
2.431,430.934,6,0,-4.19
1.2673,435.481,6,0.322580645,-3.638
5.1462,228.294,0,1,-6.726
-1.375,266.257,2,0.473684211,-1.95
-0.9368,112.088,0,0.75,-1.488
-0.9762,60.056,0,0,0.96
-1.7672,168.112,0,0.75,-3.93
1.3755,86.134,3,0,-0.85
1.9882,287.343,8,0,1.144
3.4213,286.114,2,0.333333333,-4.925
3.6096,308.333,4,0.695652174,-3.893
2.56214,354.815,3,0.52173913,-3.79
2.02164,179.219,1,0.461538462,-2.581
